loan_id,due_date,amount_due,amount_paid,payment_date
LN1004,2025-10-17,6755,6755,2025-10-18
LN1004,2025-11-16,5080,5080,2025-11-16
LN1005,2023-01-01,4768,0,
LN1005,2023-01-31,5436,5436,2023-01-31
LN1005,2023-03-02,2871,2871,2023-03-02
LN1005,2023-04-01,5879,5879,2023-04-02
LN1005,2023-05-01,7338,7338,2023-05-01
LN1005,2023-05-31,5598,0,
LN1005,2023-06-30,2829,0,
LN1005,2023-07-30,2238,0,
LN1005,2023-08-29,4693,0,
LN1005,2023-09-28,3718,3718,2023-10-03
LN1005,2023-10-28,3964,3964,2023-10-28
LN1005,2023-11-27,5811,5811,2023-11-27
LN1006,2023-01-01,4912,4912,2023-01-02
LN1006,2023-01-31,5043,0,
LN1006,2023-03-02,6828,0,
LN1006,2023-04-01,5812,0,
LN1006,2023-05-01,4801,0,
LN1006,2023-05-31,7037,7037,2023-06-05
LN1006,2023-06-30,4563,4563,2023-07-01
LN1006,2023-07-30,4215,4215,2023-07-31
LN1006,2023-08-29,6328,6328,2023-08-30
LN1006,2023-09-28,5644,0,
LN1006,2023-10-28,2613,0,
LN1006,2023-11-27,3635,3635,2023-11-28
LN1007,2023-01-01,6333,6333,2023-01-06
LN1007,2023-01-31,2750,2750,2023-02-01
LN1007,2023-03-02,2285,2285,2023-03-02
LN1007,2023-04-01,3321,0,
LN1007,2023-05-01,7031,7031,2023-05-02
LN1007,2023-05-31,5720,5720,2023-06-01
LN1007,2023-06-30,6169,0,
LN1007,2023-07-30,3365,3365,2023-07-30
LN1007,2023-08-29,4936,0,
LN1007,2023-09-28,5583,5583,2023-10-03
LN1007,2023-10-28,2638,2638,2023-10-28
LN1007,2023-11-27,6288,0,
LN1008,2023-01-01,2274,2274,2023-01-01
LN1008,2023-01-31,3076,0,
LN1008,2023-03-02,6671,0,
LN1008,2023-04-01,2155,0,
LN1008,2023-05-01,5909,5909,2023-05-02
LN1008,2023-05-31,7175,7175,2023-06-05
LN1008,2023-06-30,6307,6307,2023-06-30
LN1008,2023-07-30,4187,0,
LN1008,2023-08-29,6212,0,
LN1008,2023-09-28,7380,0,
LN1008,2023-10-28,6190,0,
LN1008,2023-11-27,3149,3149,2023-11-27
LN1009,2023-01-01,4056,4056,2023-01-06
LN1009,2023-01-31,3995,3995,2023-01-31
LN1009,2023-03-02,4444,4444,2023-03-02
LN1009,2023-04-01,6317,6317,2023-04-01
LN1009,2023-05-01,3472,3472,2023-05-02
LN1009,2023-05-31,5619,0,
LN1009,2023-06-30,7195,7195,2023-06-30
LN1009,2023-07-30,6598,0,
LN1009,2023-08-29,2612,0,
LN1009,2023-09-28,6062,0,
LN1009,2023-10-28,3343,3343,2023-11-02
LN1009,2023-11-27,1623,1623,2023-12-02
LN1009,2023-12-27,5712,5712,2024-01-01
LN1009,2024-01-26,4500,4500,2024-01-26
LN1009,2024-02-25,7053,0,
LN1009,2024-03-26,2005,2005,2024-03-26
LN1009,2024-04-25,5324,0,
LN1009,2024-05-25,5249,0,
LN1009,2024-06-24,5956,5956,2024-06-24
LN1009,2024-07-24,4892,0,
LN1009,2024-08-23,2426,0,
LN1009,2024-09-22,6101,0,
LN1009,2024-10-22,7829,7829,2024-10-23
LN1009,2024-11-21,4550,0,
LN1009,2024-12-21,6088,0,
LN1009,2025-01-20,6690,0,
LN1009,2025-02-19,5493,5493,2025-02-24
LN1009,2025-03-21,7523,7523,2025-03-21
LN1009,2025-04-20,5903,5903,2025-04-25
LN1009,2025-05-20,7034,7034,2025-05-20
LN1009,2025-06-19,6720,6720,2025-06-24
LN1009,2025-07-19,2566,2566,2025-07-19
LN1009,2025-08-18,6870,6870,2025-08-19
LN1009,2025-09-17,3177,3177,2025-09-17
LN1009,2025-10-17,5549,0,
LN1009,2025-11-16,7157,0,
LN1010,2023-01-01,4561,0,
LN1010,2023-01-31,6411,6411,2023-02-05
LN1010,2023-03-02,7665,7665,2023-03-03
LN1010,2023-04-01,3986,0,
LN1010,2023-05-01,5285,0,
LN1010,2023-05-31,3937,3937,2023-06-05
LN1010,2023-06-30,4349,0,
LN1010,2023-07-30,2972,2972,2023-07-30
LN1010,2023-08-29,6723,6723,2023-08-29
LN1010,2023-09-28,7977,7977,2023-09-28
LN1010,2023-10-28,5508,0,
LN1010,2023-11-27,3690,3690,2023-11-28
LN1011,2023-01-01,7401,0,
LN1011,2023-01-31,5824,0,
LN1011,2023-03-02,7819,7819,2023-03-02
LN1011,2023-04-01,5033,5033,2023-04-02
LN1011,2023-05-01,6133,6133,2023-05-06
LN1011,2023-05-31,4032,4032,2023-06-01
LN1011,2023-06-30,3716,0,
LN1011,2023-07-30,5505,0,
LN1011,2023-08-29,2516,0,
LN1011,2023-09-28,3774,3774,2023-10-03
LN1011,2023-10-28,7736,7736,2023-11-02
LN1011,2023-11-27,7888,7888,2023-12-02
LN1011,2023-12-27,1804,1804,2024-01-01
LN1011,2024-01-26,3551,0,
LN1011,2024-02-25,6455,6455,2024-03-01
LN1011,2024-03-26,1975,0,
LN1011,2024-04-25,3297,0,
LN1011,2024-05-25,5310,0,
LN1011,2024-06-24,6700,0,
LN1011,2024-07-24,3570,3570,2024-07-24
LN1011,2024-08-23,7275,7275,2024-08-28
LN1011,2024-09-22,2579,2579,2024-09-27
LN1011,2024-10-22,7450,0,
LN1011,2024-11-21,2645,2645,2024-11-26
LN1012,2023-01-01,7976,0,
LN1012,2023-01-31,2969,2969,2023-02-01
LN1012,2023-03-02,2205,2205,2023-03-03
LN1012,2023-04-01,7618,7618,2023-04-01
LN1012,2023-05-01,3182,3182,2023-05-02
LN1012,2023-05-31,4991,4991,2023-06-05
LN1012,2023-06-30,6457,6457,2023-06-30
LN1012,2023-07-30,4381,4381,2023-07-31
LN1012,2023-08-29,4575,0,
LN1012,2023-09-28,3448,3448,2023-10-03
LN1012,2023-10-28,7497,7497,2023-10-29
LN1012,2023-11-27,2256,2256,2023-11-27
LN1013,2023-01-01,5492,0,
LN1013,2023-01-31,1793,1793,2023-02-01
LN1013,2023-03-02,4238,0,
LN1013,2023-04-01,2556,2556,2023-04-01
LN1013,2023-05-01,1824,0,
LN1013,2023-05-31,5887,0,
LN1013,2023-06-30,3386,3386,2023-07-05
LN1013,2023-07-30,2107,0,
LN1013,2023-08-29,7537,7537,2023-09-03
LN1013,2023-09-28,5781,5781,2023-09-28
LN1013,2023-10-28,7951,7951,2023-10-29
LN1013,2023-11-27,4808,0,
LN1014,2023-01-01,1535,1535,2023-01-02
LN1014,2023-01-31,2911,2911,2023-02-01
LN1014,2023-03-02,4846,4846,2023-03-02
LN1014,2023-04-01,3139,3139,2023-04-06
LN1014,2023-05-01,4029,4029,2023-05-02
LN1014,2023-05-31,5755,0,
LN1014,2023-06-30,5956,0,
LN1014,2023-07-30,6267,6267,2023-07-31
LN1014,2023-08-29,1613,1613,2023-08-30
LN1014,2023-09-28,2888,2888,2023-09-28
LN1014,2023-10-28,7764,0,
LN1014,2023-11-27,4686,0,
LN1014,2023-12-27,7083,7083,2023-12-27
LN1014,2024-01-26,3885,3885,2024-01-27
LN1014,2024-02-25,4557,4557,2024-02-26
LN1014,2024-03-26,3616,3616,2024-03-31
LN1014,2024-04-25,6580,6580,2024-04-25
LN1014,2024-05-25,2539,2539,2024-05-26
LN1014,2024-06-24,5905,0,
LN1014,2024-07-24,6474,0,
LN1014,2024-08-23,7130,0,
LN1014,2024-09-22,6104,0,
LN1014,2024-10-22,4754,0,
LN1014,2024-11-21,2713,2713,2024-11-26
LN1015,2023-01-01,2271,0,
LN1015,2023-01-31,3710,3710,2023-02-01
LN1015,2023-03-02,1550,1550,2023-03-02
LN1015,2023-04-01,4856,4856,2023-04-06
LN1015,2023-05-01,3315,0,
LN1015,2023-05-31,5791,5791,2023-05-31
LN1015,2023-06-30,7003,7003,2023-07-01
LN1015,2023-07-30,6776,6776,2023-08-04
LN1015,2023-08-29,5673,5673,2023-08-30
LN1015,2023-09-28,5256,0,
LN1015,2023-10-28,3709,3709,2023-10-28
LN1015,2023-11-27,3463,3463,2023-11-28
LN1016,2023-01-01,4104,0,
LN1016,2023-01-31,4173,4173,2023-02-05
LN1016,2023-03-02,5203,5203,2023-03-07
LN1016,2023-04-01,5592,5592,2023-04-02
LN1016,2023-05-01,5750,5750,2023-05-06
LN1016,2023-05-31,7715,0,
LN1016,2023-06-30,7299,0,
LN1016,2023-07-30,3017,3017,2023-07-31
LN1016,2023-08-29,5322,0,
LN1016,2023-09-28,7661,7661,2023-10-03
LN1016,2023-10-28,3007,3007,2023-10-28
LN1016,2023-11-27,7681,7681,2023-12-02
LN1016,2023-12-27,7179,0,
LN1016,2024-01-26,6474,0,
LN1016,2024-02-25,7755,0,
LN1016,2024-03-26,3820,3820,2024-03-26
LN1016,2024-04-25,7658,0,
LN1016,2024-05-25,6055,6055,2024-05-30
LN1016,2024-06-24,4399,4399,2024-06-24
LN1016,2024-07-24,1949,0,
LN1016,2024-08-23,7388,7388,2024-08-23
LN1016,2024-09-22,6487,6487,2024-09-27
LN1016,2024-10-22,7339,7339,2024-10-23
LN1016,2024-11-21,2500,2500,2024-11-22
LN1017,2023-01-01,5417,0,
LN1017,2023-01-31,1742,0,
LN1017,2023-03-02,7118,7118,2023-03-07
LN1017,2023-04-01,5580,5580,2023-04-01
LN1017,2023-05-01,6460,0,
LN1017,2023-05-31,6127,0,
LN1017,2023-06-30,2655,2655,2023-07-05
LN1017,2023-07-30,2878,2878,2023-07-30
LN1017,2023-08-29,7740,0,
LN1017,2023-09-28,1528,1528,2023-10-03
LN1017,2023-10-28,2216,2216,2023-11-02
LN1017,2023-11-27,2002,0,
LN1017,2023-12-27,3895,0,
LN1017,2024-01-26,6149,6149,2024-01-31
LN1017,2024-02-25,7068,7068,2024-03-01
LN1017,2024-03-26,7340,0,
LN1017,2024-04-25,1682,1682,2024-04-26
LN1017,2024-05-25,5216,0,
LN1017,2024-06-24,3168,3168,2024-06-25
LN1017,2024-07-24,4701,0,
LN1017,2024-08-23,4823,4823,2024-08-23
LN1017,2024-09-22,4091,4091,2024-09-23
LN1017,2024-10-22,4988,0,
LN1017,2024-11-21,3135,3135,2024-11-21
LN1018,2023-01-01,4266,4266,2023-01-06
LN1018,2023-01-31,4347,4347,2023-02-05
LN1018,2023-03-02,2980,0,
LN1018,2023-04-01,6596,6596,2023-04-06
LN1018,2023-05-01,3111,0,
LN1018,2023-05-31,4662,0,
LN1018,2023-06-30,5243,5243,2023-07-01
LN1018,2023-07-30,2035,2035,2023-07-31
LN1018,2023-08-29,6521,0,
LN1018,2023-09-28,1969,0,
LN1018,2023-10-28,5832,0,
LN1018,2023-11-27,4360,4360,2023-12-02
LN1019,2023-01-01,7535,0,
LN1019,2023-01-31,3607,3607,2023-01-31
LN1019,2023-03-02,6352,6352,2023-03-02
LN1019,2023-04-01,6185,6185,2023-04-06
LN1019,2023-05-01,2934,2934,2023-05-06
LN1019,2023-05-31,7480,0,
LN1019,2023-06-30,6669,6669,2023-07-05
LN1019,2023-07-30,3610,3610,2023-07-31
LN1019,2023-08-29,1815,0,
LN1019,2023-09-28,5351,5351,2023-09-29
LN1019,2023-10-28,4786,4786,2023-10-29
LN1019,2023-11-27,3179,3179,2023-11-27
LN1019,2023-12-27,7748,7748,2024-01-01
LN1019,2024-01-26,4102,0,
LN1019,2024-02-25,1606,1606,2024-02-25
LN1019,2024-03-26,2230,2230,2024-03-27
LN1019,2024-04-25,1962,1962,2024-04-25
LN1019,2024-05-25,7822,7822,2024-05-25
LN1019,2024-06-24,3927,3927,2024-06-25
LN1019,2024-07-24,1506,0,
LN1019,2024-08-23,6621,6621,2024-08-23
LN1019,2024-09-22,5417,5417,2024-09-27
LN1019,2024-10-22,5171,5171,2024-10-27
LN1019,2024-11-21,5481,5481,2024-11-22
LN1020,2023-01-01,4772,4772,2023-01-02
LN1020,2023-01-31,3190,3190,2023-02-01
LN1020,2023-03-02,6140,6140,2023-03-02
LN1020,2023-04-01,7407,7407,2023-04-02
LN1020,2023-05-01,3703,3703,2023-05-01
LN1020,2023-05-31,1524,0,
LN1020,2023-06-30,7237,7237,2023-07-01
LN1020,2023-07-30,6744,6744,2023-08-04
LN1020,2023-08-29,6302,0,
LN1020,2023-09-28,6799,0,
LN1020,2023-10-28,3818,0,
LN1020,2023-11-27,4847,0,
LN1020,2023-12-27,4621,4621,2024-01-01
LN1020,2024-01-26,2793,2793,2024-01-26
LN1020,2024-02-25,2172,0,
LN1020,2024-03-26,7011,7011,2024-03-26
LN1020,2024-04-25,7122,7122,2024-04-30
LN1020,2024-05-25,4818,0,
LN1020,2024-06-24,7004,0,
LN1020,2024-07-24,1830,0,
LN1020,2024-08-23,3199,3199,2024-08-23
LN1020,2024-09-22,7435,7435,2024-09-23
LN1020,2024-10-22,7516,0,
LN1020,2024-11-21,3318,0,
LN1020,2024-12-21,1986,1986,2024-12-22
LN1020,2025-01-20,3734,3734,2025-01-20
LN1020,2025-02-19,4332,4332,2025-02-24
LN1020,2025-03-21,1910,0,
LN1020,2025-04-20,5738,0,
LN1020,2025-05-20,5921,5921,2025-05-20
LN1020,2025-06-19,3945,3945,2025-06-20
LN1020,2025-07-19,1978,0,
LN1020,2025-08-18,4118,0,
LN1020,2025-09-17,3588,3588,2025-09-22
LN1020,2025-10-17,6837,6837,2025-10-18
LN1020,2025-11-16,4124,4124,2025-11-17
LN1021,2023-01-01,6625,6625,2023-01-06
LN1021,2023-01-31,7542,7542,2023-01-31
LN1021,2023-03-02,2479,2479,2023-03-02
LN1021,2023-04-01,2809,0,
LN1021,2023-05-01,3370,3370,2023-05-06
LN1021,2023-05-31,5405,5405,2023-06-01
LN1021,2023-06-30,6813,6813,2023-07-05
LN1021,2023-07-30,7861,0,
LN1021,2023-08-29,7906,7906,2023-09-03
LN1021,2023-09-28,3874,3874,2023-09-28
LN1021,2023-10-28,1510,0,
LN1021,2023-11-27,6626,6626,2023-11-27
LN1021,2023-12-27,4990,4990,2023-12-27
LN1021,2024-01-26,4596,4596,2024-01-31
LN1021,2024-02-25,4986,0,
LN1021,2024-03-26,3948,3948,2024-03-27
LN1021,2024-04-25,7413,7413,2024-04-30
LN1021,2024-05-25,7669,0,
LN1021,2024-06-24,2809,2809,2024-06-24
LN1021,2024-07-24,5970,5970,2024-07-29
LN1021,2024-08-23,4482,4482,2024-08-24
LN1021,2024-09-22,7645,7645,2024-09-27
LN1021,2024-10-22,6238,0,
LN1021,2024-11-21,6133,6133,2024-11-26
LN1021,2024-12-21,6993,6993,2024-12-21
LN1021,2025-01-20,3454,3454,2025-01-20
LN1021,2025-02-19,6179,6179,2025-02-19
LN1021,2025-03-21,5949,0,
LN1021,2025-04-20,5131,5131,2025-04-25
LN1021,2025-05-20,3472,0,
LN1021,2025-06-19,4356,0,
LN1021,2025-07-19,7622,0,
LN1021,2025-08-18,4968,0,
LN1021,2025-09-17,7444,7444,2025-09-22
LN1021,2025-10-17,7715,7715,2025-10-18
LN1021,2025-11-16,2648,2648,2025-11-16
LN1022,2023-01-01,2650,2650,2023-01-06
LN1022,2023-01-31,6923,6923,2023-02-05
LN1022,2023-03-02,6447,6447,2023-03-07
LN1022,2023-04-01,5367,5367,2023-04-01
LN1022,2023-05-01,2241,0,
LN1022,2023-05-31,3952,3952,2023-06-01
LN1022,2023-06-30,6406,6406,2023-06-30
LN1022,2023-07-30,2489,2489,2023-07-31
LN1022,2023-08-29,7896,7896,2023-09-03
LN1022,2023-09-28,2429,2429,2023-10-03
LN1022,2023-10-28,7614,7614,2023-10-29
LN1022,2023-11-27,7907,7907,2023-11-27
LN1023,2023-01-01,2189,2189,2023-01-02
LN1023,2023-01-31,3028,3028,2023-02-01
LN1023,2023-03-02,1847,1847,2023-03-03
LN1023,2023-04-01,4503,0,
LN1023,2023-05-01,2149,0,
LN1023,2023-05-31,7949,0,
LN1023,2023-06-30,4780,0,
LN1023,2023-07-30,6280,6280,2023-07-31
LN1023,2023-08-29,4929,4929,2023-08-29
LN1023,2023-09-28,2401,0,
LN1023,2023-10-28,1800,1800,2023-10-29
LN1023,2023-11-27,5004,5004,2023-11-28
LN1024,2023-01-01,5761,5761,2023-01-01
LN1024,2023-01-31,5384,5384,2023-02-01
LN1024,2023-03-02,7713,7713,2023-03-03
LN1024,2023-04-01,7631,7631,2023-04-01
LN1024,2023-05-01,4601,0,
LN1024,2023-05-31,5551,0,
LN1024,2023-06-30,7883,7883,2023-07-01
LN1024,2023-07-30,5666,5666,2023-07-30
LN1024,2023-08-29,6983,6983,2023-09-03
LN1024,2023-09-28,6123,6123,2023-09-29
LN1024,2023-10-28,4218,0,
LN1024,2023-11-27,5638,5638,2023-11-28
LN1024,2023-12-27,7223,7223,2023-12-27
LN1024,2024-01-26,3945,3945,2024-01-26
LN1024,2024-02-25,6690,0,
LN1024,2024-03-26,6720,6720,2024-03-27
LN1024,2024-04-25,2036,2036,2024-04-30
LN1024,2024-05-25,3932,3932,2024-05-26
LN1024,2024-06-24,2796,0,
LN1024,2024-07-24,2928,0,
LN1024,2024-08-23,7812,7812,2024-08-24
LN1024,2024-09-22,2531,0,
LN1024,2024-10-22,1947,1947,2024-10-22
LN1024,2024-11-21,2741,2741,2024-11-21
LN1025,2023-01-01,5977,5977,2023-01-02
LN1025,2023-01-31,7134,7134,2023-02-01
LN1025,2023-03-02,3634,3634,2023-03-03
LN1025,2023-04-01,5625,5625,2023-04-02
LN1025,2023-05-01,1800,0,
LN1025,2023-05-31,3785,3785,2023-06-05
LN1025,2023-06-30,3609,3609,2023-06-30
LN1025,2023-07-30,3700,3700,2023-08-04
LN1025,2023-08-29,6511,0,
LN1025,2023-09-28,2493,0,
LN1025,2023-10-28,2876,0,
LN1025,2023-11-27,6832,6832,2023-11-28
LN1025,2023-12-27,3474,3474,2023-12-27
LN1025,2024-01-26,2040,2040,2024-01-26
LN1025,2024-02-25,2892,2892,2024-02-26
LN1025,2024-03-26,4754,4754,2024-03-27
LN1025,2024-04-25,5905,5905,2024-04-26
LN1025,2024-05-25,4917,4917,2024-05-30
LN1025,2024-06-24,4252,4252,2024-06-25
LN1025,2024-07-24,3132,3132,2024-07-29
LN1025,2024-08-23,5413,0,
LN1025,2024-09-22,2681,0,
LN1025,2024-10-22,6634,6634,2024-10-22
LN1025,2024-11-21,4017,4017,2024-11-21
LN1026,2023-01-01,3563,3563,2023-01-06
LN1026,2023-01-31,2249,0,
LN1026,2023-03-02,5995,0,
LN1026,2023-04-01,6141,6141,2023-04-02
LN1026,2023-05-01,2450,0,
LN1026,2023-05-31,4159,0,
LN1026,2023-06-30,6744,0,
LN1026,2023-07-30,4196,0,
LN1026,2023-08-29,1625,0,
LN1026,2023-09-28,6837,6837,2023-09-28
LN1026,2023-10-28,5158,5158,2023-11-02
LN1026,2023-11-27,6715,6715,2023-11-28
LN1026,2023-12-27,2073,2073,2023-12-28
LN1026,2024-01-26,5058,0,
LN1026,2024-02-25,1975,1975,2024-03-01
LN1026,2024-03-26,2253,2253,2024-03-27
LN1026,2024-04-25,6380,0,
LN1026,2024-05-25,4649,0,
LN1026,2024-06-24,2523,2523,2024-06-29
LN1026,2024-07-24,5276,5276,2024-07-24
LN1026,2024-08-23,3679,3679,2024-08-28
LN1026,2024-09-22,6345,0,
LN1026,2024-10-22,7822,7822,2024-10-27
LN1026,2024-11-21,3682,3682,2024-11-21
LN1026,2024-12-21,5580,5580,2024-12-26
LN1026,2025-01-20,6827,6827,2025-01-20
LN1026,2025-02-19,7712,0,
LN1026,2025-03-21,7982,0,
LN1026,2025-04-20,3262,3262,2025-04-20
LN1026,2025-05-20,4008,0,
LN1026,2025-06-19,4225,4225,2025-06-24
LN1026,2025-07-19,4267,4267,2025-07-20
LN1026,2025-08-18,2917,0,
LN1026,2025-09-17,7292,7292,2025-09-17
LN1026,2025-10-17,5586,5586,2025-10-18
LN1026,2025-11-16,2223,2223,2025-11-17
LN1027,2023-01-01,3782,3782,2023-01-02
LN1027,2023-01-31,5258,5258,2023-02-01
LN1027,2023-03-02,4548,4548,2023-03-02
LN1027,2023-04-01,2507,0,
LN1027,2023-05-01,2032,0,
LN1027,2023-05-31,4175,0,
LN1027,2023-06-30,5123,5123,2023-07-01
LN1027,2023-07-30,5697,5697,2023-08-04
LN1027,2023-08-29,5066,0,
LN1027,2023-09-28,5590,5590,2023-10-03
LN1027,2023-10-28,2227,2227,2023-10-29
LN1027,2023-11-27,2211,2211,2023-11-27
LN1027,2023-12-27,4734,4734,2023-12-27
LN1027,2024-01-26,6768,6768,2024-01-31
LN1027,2024-02-25,3864,3864,2024-02-26
LN1027,2024-03-26,2495,0,
LN1027,2024-04-25,4185,4185,2024-04-30
LN1027,2024-05-25,3879,3879,2024-05-26
LN1027,2024-06-24,6894,0,
LN1027,2024-07-24,6534,6534,2024-07-24
LN1027,2024-08-23,2782,2782,2024-08-23
LN1027,2024-09-22,2107,0,
LN1027,2024-10-22,3704,0,
LN1027,2024-11-21,7452,0,
LN1028,2023-01-01,2032,2032,2023-01-06
LN1028,2023-01-31,2411,2411,2023-02-05
LN1028,2023-03-02,6537,6537,2023-03-03
LN1028,2023-04-01,4393,0,
LN1028,2023-05-01,3511,3511,2023-05-02
LN1028,2023-05-31,3226,3226,2023-06-05
LN1028,2023-06-30,4099,0,
LN1028,2023-07-30,7960,7960,2023-07-31
LN1028,2023-08-29,7179,7179,2023-08-30
LN1028,2023-09-28,3653,0,
LN1028,2023-10-28,6182,6182,2023-10-28
LN1028,2023-11-27,4261,0,
LN1028,2023-12-27,6796,0,
LN1028,2024-01-26,3858,3858,2024-01-27
LN1028,2024-02-25,3625,3625,2024-02-26
LN1028,2024-03-26,5678,0,
LN1028,2024-04-25,4902,4902,2024-04-26
LN1028,2024-05-25,2591,2591,2024-05-30
LN1028,2024-06-24,5565,0,
LN1028,2024-07-24,2670,2670,2024-07-25
LN1028,2024-08-23,1974,1974,2024-08-28
LN1028,2024-09-22,3416,3416,2024-09-22
LN1028,2024-10-22,2925,0,
LN1028,2024-11-21,5038,0,
LN1029,2023-01-01,7995,0,
LN1029,2023-01-31,3434,0,
LN1029,2023-03-02,2434,2434,2023-03-03
